year	sex	occupation	people	score	sei
1850	1	Security Guard	3134	25	18
1850	1	Service Worker	2324	11	11
1850	1	Sheriff / Bailiff	1718	30	34
1850	1	Ship Officers	7781	42	54
1850	1	Shipping and Receiving	303	26	22
1850	1	Shoemaker	139284	20	12
1850	1	Stationary Engineer	10304	36	47
1850	1	Stock Broker	101	40	73
1850	1	Stone Cutter	11323	28	25
1850	1	Surveyor	1314	28	48
1850	1	Tailor	55694	26	23
1850	1	Taxi Cab Driver / Chauffeur	1212	22	10
1850	1	Teacher	30418	27	72
1850	1	Telegraph Messenger	101	12	22
1850	1	Telegraph Operator	505	32	47
1850	1	Textile Spinner	4955	18	5
1850	1	Ticket Agent	1314	35	60
1850	1	Tool Maker	505	37	50
1850	1	Truck / Tractor Driver	31753	25	15
1850	1	Typesetter	16068	36	52
1850	1	Upholsterer	2425	26	22
1850	1	Waiter / Waitress	7184	11	16
1850	1	Weaver	15970	23	6
1850	1	Welder	101	31	24
1850	2	Apprentice	101	19	31
1850	2	Baker	101	28	22
1850	2	Barber / Beautician	202	19	17
1850	2	Blacksmith	101	25	16
1850	2	Boarding House Keeper	910	7	30
1850	2	Boatman	304	30	24
1850	2	Building Manager	101	20	32
1850	2	Cabinet Maker	101	26	23
1850	2	Carpenter	707	24	19
1850	2	Clergyman	101	24	52
1850	2	Craftsman	202	32	32
1850	2	Disabled	202	0	0
1850	2	Dressmaker / Seamstress	2226	12	23
1850	2	Farm Foreman	101	23	20
1850	2	Farm Laborer	1313	9	6
1850	2	Farmer	17583	14	14
1850	2	Hospital Attendant	101	16	13
1850	2	Household Worker	11620	6	13
1850	2	Jeweler	101	27	36
1850	2	Laborer	3436	20	8
1850	2	Manager / Owner	1717	42	68
1850	2	Mechanic	101	30	27
1850	2	Miller	101	25	19
1850	2	Milliner	506	19	46
1850	2	Millwright	101	34	31
1850	2	Miner	303	24	10
1850	2	Musician / Music Teacher	101	20	52
1850	2	Nurse	707	11	22
1850	2	Operative	1212	23	18
1850	2	Painter	101	23	16
1850	2	Professional - Misc	303	33	65
1850	2	Public Officials	102	36	66
1850	2	Religious Worker	101	15	56
1850	2	Sailor	101	23	16
1850	2	Salesman	405	24	47
1850	2	Shoemaker	101	20	12
1850	2	Stationary Engineer	101	36	47
1850	2	Tailor	1517	26	23
1850	2	Teacher	2728	27	72
1850	2	Textile Spinner	606	18	5
1850	2	Truck / Tractor Driver	202	25	15
1850	2	Typesetter	101	36	52
1850	2	Waiter / Waitress	202	11	16
1850	2	Weaver	909	23	6
1860	1	Accountant / Auditor	1805	38	78
1860	1	Actor	401	29	60
